AuthorID,Author,Date,Content,Attachments,Reactions
"594440218044661760","arn4v9056","2020-09-16T11:02:26.6690000+05:30","Joined the server.","",""
"594440218044661760","arn4v9056","2020-09-16T11:02:39.0210000+05:30","Yo!!!!!!1","",""
"611562834614026261","akshaj0706","2020-09-16T11:06:11.5770000+05:30","Joined the server.","",""
"611562834614026261","akshaj0706","2020-09-16T11:06:15.4540000+05:30","Yoyo","",""
"448726198789603328","en1gma07","2020-09-16T11:07:06.6420000+05:30","Mai sanchit","",""
"755666449959223376","saarthak3402","2020-09-16T11:19:26.2650000+05:30","Joined the server.","",""
"755666449959223376","saarthak3402","2020-09-16T11:19:35.8420000+05:30","Yo boii","",""
"448726198789603328","en1gma07","2020-09-16T11:23:46.1650000+05:30","Hi","",""
"594440218044661760","arn4v9056","2020-09-16T11:24:57.2890000+05:30","Yo","",""
"743528093574234113","thomas_._dp","2020-09-16T12:09:15.5900000+05:30","Joined the server.","",""
"594440218044661760","arn4v9056","2020-09-16T12:09:53.2330000+05:30","@Thomas  kon hai?","",""
"743528093574234113","thomas_._dp","2020-09-16T12:10:02.3880000+05:30","Divyank Patrekar","",""
"448726198789603328","en1gma07","2020-09-16T12:10:23.5090000+05:30","Hi","",""
"743528093574234113","thomas_._dp","2020-09-16T12:10:53.0590000+05:30","Hi","",""
"755666449959223376","saarthak3402","2020-09-16T12:27:39.2220000+05:30","Isme  phir voice chat kaise karenge?","",""
"594440218044661760","arn4v9056","2020-09-16T12:29:23.1080000+05:30","Voice channels mai","",""
"594440218044661760","arn4v9056","2020-09-16T12:31:27.5040000+05:30","Usme Voice chat mai","",""
"743528093574234113","thomas_._dp","2020-09-16T12:42:17.8230000+05:30","Sahil ko add karu kya","",""
"448726198789603328","en1gma07","2020-09-16T12:42:31.8490000+05:30","Teri maezi","",""
"743528093574234113","thomas_._dp","2020-09-16T12:42:32.7150000+05:30","He's asking","",""
"448726198789603328","en1gma07","2020-09-16T12:42:33.8530000+05:30","Marzi","",""
"743528093574234113","thomas_._dp","2020-09-16T12:42:41.8510000+05:30","Ok","",""
